RunID,Particle,Energy_keV,NumLayers,LayerStack,ThicknessStack,DensityStack,SourceFile,Tree
0,gamma,1.796658560614805,5,G4_Fe|G4_Al|G4_Al|G4_Pb|G4_Fe,18.332502|13.579642|19.599231|18.903889|5.541393,7.870000|2.700000|2.700000|11.340000|7.870000,Output_0.root,Metadata1
1,gamma,1.313293110199678,5,G4_Al|G4_Pb|G4_Pb|G4_Pb|G4_Fe,6.968220|1.936635|10.864139|19.928128|13.522539,2.700000|11.340000|11.340000|11.340000|7.870000,Output_1.root,Metadata1
2,gamma,1.5931650099146997,5,G4_Pb|G4_Al|G4_Al|G4_Al|G4_Pb,18.125781|18.132436|17.983680|2.877391|1.063029,11.340000|2.700000|2.700000|2.700000|11.340000,Output_2.root,Metadata1
